,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
128,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,0.9983044862747192,0.9983044862747192,1,1,2,1,Skipped,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,1
129,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has [[developed]] an ornamental design for a handset , the U.S. Patent & Trademark Office announced .","ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has [[modernize]] an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",0.0010823011398315,0.9941955804824828,1,2,1,160,Successful,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has modernize an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",2
130,"In the second quarter of 2010 , the group 's pretax loss [[narrowed]] to EUR 400,000 from EUR 600,000 .","In the second quarter of 2010 , the group 's pretax loss [[contract]] to EUR 400,000 from EUR 600,000 .",0.0005671381950378,0.9970188736915588,2,0,2,76,Successful,"In the second quarter of 2010 , the group 's pretax loss contract to EUR 400,000 from EUR 600,000 .",0
131,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss [[narrowed]] to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss [[specialise]] to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,0.000572383403778,0.9937344193458556,2,0,2,249,Successful,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss specialise to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,0
132,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss [[narrowed]] to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss [[contract]] to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,0.0005849599838256,0.9791543483734132,2,0,2,151,Successful,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss contract to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,0
133,"In contrast , the company 's [[net]] loss for the third quarter of 2009 [[contracted]] to EUR 76 million from EUR 256 million for the corresponding period a year ago .","In contrast , the company 's [[profits]] loss for the third quarter of 2009 [[compact]] to EUR 76 million from EUR 256 million for the corresponding period a year ago .",0.0007585287094116,0.9917911887168884,2,0,2,172,Successful,"In contrast , the company 's profits loss for the third quarter of 2009 compact to EUR 76 million from EUR 256 million for the corresponding period a year ago .",0
134,"In the second quarter of 2010 , Raute 's net loss [[narrowed]] to EUR 123,000 from EUR 1.5 million in the same period of 2009 .","In the second quarter of 2010 , Raute 's net loss [[contract]] to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",0.0005682110786437,0.9971503615379332,2,0,2,123,Successful,"In the second quarter of 2010 , Raute 's net loss contract to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",0
135,"Metsaliitto , however , [[narrowed]] its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .","Metsaliitto , however , [[specify]] its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",0.0010452270507812,0.9976854920387268,2,0,2,141,Successful,"Metsaliitto , however , specify its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",0
136,Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to [[accelerate]] feature development and reduce product [[cost]] .,Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to [[quicken]] feature development and reduce product [[be]] .,0.0005872249603271,0.8662102222442627,2,0,2,175,Successful,Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to quicken feature development and reduce product be .,0
137,"[[Profit]] before [[taxes]] [[amounted]] to EUR 56.[[5]] mn , down from EUR 232.9 [[mn]] a [[year]] ago .","[[gain]] before [[tax]] [[come]] to EUR 56.[[fivesome]] mn , down from EUR 232.9 [[manganese]] a [[class]] ago .",0.0014329552650451,0.0649431943893432,0,0,0,106,Failed,"gain before tax come to EUR 56.fivesome mn , down from EUR 232.9 manganese a class ago .",0
138,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost [[savings]] on an annual basis .,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost [[spare]] on an annual basis .,0.0005836486816406,0.9993641972541808,2,1,2,127,Successful,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost spare on an annual basis .,1
139,"Finnish [[pharmaceuticals]] [[company]] Orion [[reports]] [[profit]] before [[taxes]] of EUR 70.0 [[mn]] in the [[third]] [[quarter]] of 2010 , up from EUR 54.9 mn in the [[corresponding]] [[period]] in 2009 .","Finnish [[pharmaceutical]] [[caller]] Orion [[paper]] [[gain]] before [[taxis]] of EUR 70.0 [[Minnesota]] in the [[one-third]] [[draw]] of 2010 , up from EUR 54.9 mn in the [[gibe]] [[menstruation]] in 2009 .",0.0005755424499511,0.0008054375648498,2,2,2,200,Failed,"Finnish pharmaceutical caller Orion paper gain before taxis of EUR 70.0 Minnesota in the one-third draw of 2010 , up from EUR 54.9 mn in the gibe menstruation in 2009 .",2
140,Also construction [[expenses]] have gone up in Russia .,Also construction [[disbursement]] have gone up in Russia .,0.0030201077461242,0.9993785619735718,0,1,0,64,Successful,Also construction disbursement have gone up in Russia .,1
141,"`` UPM 's [[deliveries]] [[increased]] during the [[third]] [[quarter]] by [[4]] [[percent]] , and the efficiency of [[operations]] [[improved]] , '' [[Chief]] [[Executive]] Jussi Pesonen [[said]] .","`` UPM 's [[bringing]] [[increase]] during the [[tertiary]] [[canton]] by [[quadruplet]] [[percentage]] , and the efficiency of [[performance]] [[meliorate]] , '' [[foreman]] [[administrator]] Jussi Pesonen [[suppose]] .",0.0005314946174621,0.0029188990592956,2,2,2,171,Failed,"`` UPM 's bringing increase during the tertiary canton by quadruplet percentage , and the efficiency of performance meliorate , '' foreman administrator Jussi Pesonen suppose .",2
142,"Stora Enso R [[shares]] [[rose]] 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged [[higher]] , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .","Stora Enso R [[apportion]] [[rear]] 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged [[high-pitched]] , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",0.0006385445594787,0.996839165687561,2,1,2,228,Successful,"Stora Enso R apportion rear 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged high-pitched , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",1
143,"[[Earnings]] per [[share]] ( EPS ) [[amounted]] to EUR0 .[[98]] , up from the [[loss]] of EUR0 .02 .","[[make]] per [[part]] ( EPS ) [[come]] to EUR0 .[[ninety-eight]] , up from the [[release]] of EUR0 .02 .",0.0006103515625,0.979015052318573,2,1,2,91,Successful,"make per part ( EPS ) come to EUR0 .ninety-eight , up from the release of EUR0 .02 .",1
144,Operating result including non-recurring items [[rose]] to EUR 146mn from a loss of EUR 267mn in 2009 .,Operating result including non-recurring items [[originate]] to EUR 146mn from a loss of EUR 267mn in 2009 .,0.0006011724472045,0.999777376651764,2,1,2,101,Successful,Operating result including non-recurring items originate to EUR 146mn from a loss of EUR 267mn in 2009 .,1
145,"Tiimari , the [[Finnish]] retailer , [[reported]] to have geenrated quarterly [[revenues]] totalling EUR [[1]].[[3]] [[mn]] in the [[4th]] [[quarter]] 2009 , up from EUR [[0]].[[3]] [[mn]] [[loss]] in 2008 .","Tiimari , the [[Suomi]] retailer , [[describe]] to have geenrated quarterly [[gross]] totalling EUR [[I]].[[three]] [[Minnesota]] in the [[quaternary]] [[draw]] 2009 , up from EUR [[cipher]].[[triplet]] [[Minnesota]] [[red]] in 2008 .",0.0005561709403991,0.0012691617012023,2,2,2,208,Failed,"Tiimari , the Suomi retailer , describe to have geenrated quarterly gross totalling EUR I.three Minnesota in the quaternary draw 2009 , up from EUR cipher.triplet Minnesota red in 2008 .",2
146,"[[Earnings]] per [[share]] EPS [[amounted]] to EUR0 .03 , up from the [[loss]] of EUR0 .08 .","[[make]] per [[ploughshare]] EPS [[come]] to EUR0 .03 , up from the [[red]] of EUR0 .08 .",0.0006181001663208,0.0160465240478515,2,2,2,87,Failed,"make per ploughshare EPS come to EUR0 .03 , up from the red of EUR0 .08 .",2
147,The investments and operational [[changes]] enable additional optimisation of the working hours and thereby further cost [[savings]] of some 7 % -9 % .,The investments and operational [[vary]] enable additional optimisation of the working hours and thereby further cost [[preservation]] of some 7 % -9 % .,0.0005616545677185,0.9890414476394652,2,1,2,140,Successful,The investments and operational vary enable additional optimisation of the working hours and thereby further cost preservation of some 7 % -9 % .,1
148,"By 14:29 CET on Monday , shares in Bavarian Nordic had [[climbed]] 1.21 % to DKK250 on the stock exchange in Copenhagen after having [[lost]] 7.41 % in the past month .","By 14:29 CET on Monday , shares in Bavarian Nordic had [[mount]] 1.21 % to DKK250 on the stock exchange in Copenhagen after having [[mixed-up]] 7.41 % in the past month .",0.0005505681037902,0.9478473663330078,2,0,2,162,Successful,"By 14:29 CET on Monday , shares in Bavarian Nordic had mount 1.21 % to DKK250 on the stock exchange in Copenhagen after having mixed-up 7.41 % in the past month .",0
149,"For [[example]] , [[net]] [[sales]] [[increased]] by [[5]].9 % from the [[first]] quarter , and EBITDA increased from a negative EUR [[0]].2 mn in the first quarter of 2009 .","For [[illustration]] , [[last]] [[sale]] [[increase]] by [[pentad]].9 % from the [[firstly]] quarter , and EBITDA increased from a negative EUR [[cipher]].2 mn in the first quarter of 2009 .",0.0005810260772705,0.6212252378463745,2,1,2,193,Successful,"For illustration , last sale increase by pentad.9 % from the firstly quarter , and EBITDA increased from a negative EUR cipher.2 mn in the first quarter of 2009 .",1
150,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be [[positive]] .","Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be [[overconfident]] .",0.0007586479187011,0.999463438987732,2,0,2,169,Successful,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be overconfident .",0
151,"`` After the share purchase is completed , financing will also be [[provided]] to [[expand]] Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''","`` After the share purchase is completed , financing will also be [[leave]] to [[exposit]] Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",0.000531256198883,0.9939547181129456,2,1,2,159,Successful,"`` After the share purchase is completed , financing will also be leave to exposit Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",1
152,"`` The margarine business has been put into [[good]] shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .","`` The margarine business has been put into [[unspoilt]] shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",0.0006153583526611,0.6912880539894104,2,0,2,322,Successful,"`` The margarine business has been put into unspoilt shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",0
153,`` This is a [[win]] for all OEMs [[targeting]] to [[develop]] WiMAX products .,`` This is a [[acquire]] for all OEMs [[aim]] to [[explicate]] WiMAX products .,0.000754952430725,0.9979262948036194,2,0,2,74,Successful,`` This is a acquire for all OEMs aim to explicate WiMAX products .,0
154,"At the same time , sales development in Russia was [[boosted]] by the opening of Stockmann Nevsky Centre in St Petersburg .","At the same time , sales development in Russia was [[supercharge]] by the opening of Stockmann Nevsky Centre in St Petersburg .",0.0005698800086975,0.9945579767227172,2,1,2,78,Successful,"At the same time , sales development in Russia was supercharge by the opening of Stockmann Nevsky Centre in St Petersburg .",1
155,"Benefon , a wireless and GPS technology company , will [[supply]] Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .","Benefon , a wireless and GPS technology company , will [[append]] Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",0.0006518959999084,0.990956723690033,2,1,2,90,Successful,"Benefon , a wireless and GPS technology company , will append Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",1
156,[[Combining]] this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now [[proved]] to be a [[winning]] combination .,[[conflate]] this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now [[try]] to be a [[taking]] combination .,0.0006304383277893,0.9971750378608704,2,1,2,151,Successful,conflate this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now try to be a taking combination .,1
157,"Exports accounted for 65.4 % of net sales , representing an all time [[record]] for the company .","Exports accounted for 65.4 % of net sales , representing an all time [[platter]] for the company .",0.0011752247810363,0.9870647192001344,2,1,2,104,Successful,"Exports accounted for 65.4 % of net sales , representing an all time platter for the company .",1
158,"Finnish construction company YIT Oyj [[said]] on November 13 , 2007 it won a 70 mln euro $ 102.[[8]] mln [[contract]] to construct the new office building for local property company Tapiola Real Estate Oy .","Finnish construction company YIT Oyj [[suppose]] on November 13 , 2007 it won a 70 mln euro $ 102.[[ogdoad]] mln [[shrink]] to construct the new office building for local property company Tapiola Real Estate Oy .",0.0006301999092102,0.8171409368515015,2,1,2,203,Successful,"Finnish construction company YIT Oyj suppose on November 13 , 2007 it won a 70 mln euro $ 102.ogdoad mln shrink to construct the new office building for local property company Tapiola Real Estate Oy .",1
159,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a [[gain]] of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .","Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a [[make]] of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .",0.0006066560745239,0.9996619820594788,2,1,2,184,Successful,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a make of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .",1
160,Performance in the second half of 2009 [[exceeded]] [[expectations]] .,Performance in the second half of 2009 [[overstep]] [[prospect]] .,0.0006889104843139,0.9836528301239014,2,1,2,62,Successful,Performance in the second half of 2009 overstep prospect .,1
161,Talvivaara also maintains its assumption of turning cash flow [[positive]] before the year end .,Talvivaara also maintains its assumption of turning cash flow [[prescribed]] before the year end .,0.0006036758422851,0.999469518661499,2,1,2,112,Successful,Talvivaara also maintains its assumption of turning cash flow prescribed before the year end .,1
162,"Thanksto [[improvements]] in [[demand]] and the adjustments we have made , theutilization [[rates]] of Cramo 's fleet have substantiallyimproved . ''","Thanksto [[melioration]] in [[necessitate]] and the adjustments we have made , theutilization [[denounce]] of Cramo 's fleet have substantiallyimproved . ''",0.0005305409431457,0.9498212933540344,2,1,2,143,Successful,"Thanksto melioration in necessitate and the adjustments we have made , theutilization denounce of Cramo 's fleet have substantiallyimproved . ''",1
163,The estimated synergy [[benefits]] are at least EUR7m annually .,The estimated synergy [[welfare]] are at least EUR7m annually .,0.0018808245658874,0.9996507167816162,2,1,2,27,Successful,The estimated synergy welfare are at least EUR7m annually .,1
164,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,0.999169945716858,0.999169945716858,2,2,1,1,Skipped,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,2
165,"When the situation normalises , the [[company]] will be able to [[increase]] the amount of residential units for sale in St Petersburg and Moscow , in particular .","When the situation normalises , the [[caller]] will be able to [[increment]] the amount of residential units for sale in St Petersburg and Moscow , in particular .",0.0004816055297851,0.9291255474090576,2,1,2,74,Successful,"When the situation normalises , the caller will be able to increment the amount of residential units for sale in St Petersburg and Moscow , in particular .",1
166,`` Stonesoft sees [[great]] [[promise]] in the future of IPv6 .,`` Stonesoft sees [[majuscule]] [[forebode]] in the future of IPv6 .,0.0005738735198974,0.9986581206321716,2,1,2,113,Successful,`` Stonesoft sees majuscule forebode in the future of IPv6 .,1
167,`` The [[trend]] in the sports and leisure markets was [[favorable]] in the first months of the year .,`` The [[style]] in the sports and leisure markets was [[friendly]] in the first months of the year .,0.0011095404624938,0.9453006982803344,2,1,2,97,Successful,`` The style in the sports and leisure markets was friendly in the first months of the year .,1
168,"`` We [[continued]] actively to [[focus]] R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .","`` We [[remain]] actively to [[concentre]] R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",0.0018667578697204,0.9746928215026855,2,1,2,179,Successful,"`` We remain actively to concentre R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",1
169,"According to Finnish pension insurance company Varma , Varma was the [[recipient]] of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","According to Finnish pension insurance company Varma , Varma was the [[receiver]] of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",0.0014461874961853,0.999595582485199,2,1,2,96,Successful,"According to Finnish pension insurance company Varma , Varma was the receiver of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",1
170,Finnish construction group Lemmink+ñinen has been [[awarded]] two road building contracts by the Lithuanian transport administration .,Finnish construction group Lemmink+ñinen has been [[present]] two road building contracts by the Lithuanian transport administration .,0.0007137656211853,0.9846251010894777,2,1,2,93,Successful,Finnish construction group Lemmink+ñinen has been present two road building contracts by the Lithuanian transport administration .,1
171,"And the broker repeated its ` [[buy]] ' rating , based on expectations that current restructuring will lead to a clear [[improvement]] in performance in Europe in 2007 .","And the broker repeated its ` [[corrupt]] ' rating , based on expectations that current restructuring will lead to a clear [[melioration]] in performance in Europe in 2007 .",0.0005493760108947,0.9698864221572876,2,0,2,171,Successful,"And the broker repeated its ` corrupt ' rating , based on expectations that current restructuring will lead to a clear melioration in performance in Europe in 2007 .",0
172,Cision says the sale will return its U.K. operation to [[profitability]] .,Cision says the sale will return its U.K. operation to [[gainfulness]] .,0.0006354451179504,0.999398708343506,2,1,2,88,Successful,Cision says the sale will return its U.K. operation to gainfulness .,1
173,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been [[selected]] by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .","Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been [[take]] by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",0.0007399916648864,0.9934018850326538,2,1,2,117,Successful,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been take by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",1
174,DMASIA-16 August 2006-Benefon [[extends]] manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,DMASIA-16 August 2006-Benefon [[cover]] manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,0.0007886886596679,0.998834788799286,2,1,2,65,Successful,DMASIA-16 August 2006-Benefon cover manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,1
175,"Fiskars has a [[strong]] portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .","Fiskars has a [[inviolable]] portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",0.0085555911064147,0.996080219745636,2,1,2,62,Successful,"Fiskars has a inviolable portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",1
176,"Furthermore , efficiency [[improvement]] measures initiated earlier are now [[bearing]] fruit , '' CEO Jan Lang [[said]] .","Furthermore , efficiency [[melioration]] measures initiated earlier are now [[suffer]] fruit , '' CEO Jan Lang [[aver]] .",0.0005236268043518,0.9976641535758972,2,0,2,161,Successful,"Furthermore , efficiency melioration measures initiated earlier are now suffer fruit , '' CEO Jan Lang aver .",0
177,"Helsingin Uutiset , Vantaan Sanomat and Lansivayla [[reach]] some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .","Helsingin Uutiset , Vantaan Sanomat and Lansivayla [[give]] some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .",0.0009016990661621,0.8991957306861877,2,1,2,97,Successful,"Helsingin Uutiset , Vantaan Sanomat and Lansivayla give some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .",1
178,It also has potential [[clients]] in the growing environmental and recycling technology [[sectors]] .,It also has potential [[node]] in the growing environmental and recycling technology [[sector]] .,0.0036450624465942,0.6092177629470825,1,2,1,54,Successful,It also has potential node in the growing environmental and recycling technology sector .,2
179,"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit [[jumped]] to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2","( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit [[derail]] to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",0.0005685687065124,0.9983513951301576,2,0,2,206,Successful,"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit derail to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",0
180,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,0.99686598777771,0.99686598777771,2,2,1,1,Skipped,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,2
181,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation [[wins]] EUR50m equipment order in Australia -® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has [[received]] a EUR50m equipment [[order]] in Australia .,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation [[acquire]] EUR50m equipment order in Australia -® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has [[find]] a EUR50m equipment [[rescript]] in Australia .,0.0006184577941894,0.9991562962532043,2,1,2,222,Successful,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation acquire EUR50m equipment order in Australia -® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has find a EUR50m equipment rescript in Australia .,1
182,Outotec 's net profit for the second quarter of 2007 [[jumped]] to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,Outotec 's net profit for the second quarter of 2007 [[derail]] to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,0.0005799531936645,0.9959670305252076,2,0,2,176,Successful,Outotec 's net profit for the second quarter of 2007 derail to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,0
183,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new [[long-term]] [[incentive]] and commitment plan for members of the management team .,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new [[semipermanent]] [[motivator]] and commitment plan for members of the management team .,0.0010254383087158,0.92512309551239,2,1,2,78,Successful,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new semipermanent motivator and commitment plan for members of the management team .,1
184,Raute Corporation has received [[orders]] worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,Raute Corporation has received [[dictate]] worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,0.0007360577583312,0.9975503087043762,2,1,2,111,Successful,Raute Corporation has received dictate worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,1
185,"[[Recovery]] has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .","[[retrieval]] has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",0.0007218718528747,0.997725784778595,2,1,2,93,Successful,"retrieval has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",1
186,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have [[performed]] very [[well]] in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''","Speaking to just-drinks today , a spokesperson for Olvi said : `` We have [[do]] very [[intimately]] in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",0.0007922053337097,0.611591100692749,2,1,2,108,Successful,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have do very intimately in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",1
187,Sports equipment sales also progressed [[well]] [[owing]] to the prolonged winter season .,Sports equipment sales also progressed [[intimately]] [[owe]] to the prolonged winter season .,0.0007737874984741,0.9909645915031432,2,1,2,82,Successful,Sports equipment sales also progressed intimately owe to the prolonged winter season .,1
188,The acquisition of Kaupthing Sverige will bring a significant [[positive]] non-recurring addition to the group 's performance .,The acquisition of Kaupthing Sverige will bring a significant [[overconfident]] non-recurring addition to the group 's performance .,0.0007094144821166,0.9982990026474,2,1,2,73,Successful,The acquisition of Kaupthing Sverige will bring a significant overconfident non-recurring addition to the group 's performance .,1
189,The companies have [[agreed]] on [[long-term]] cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,The companies have [[correspond]] on [[semipermanent]] cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,0.0006589293479919,0.8909266591072083,2,1,2,76,Successful,The companies have correspond on semipermanent cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,1
190,The company aims to maintain this trend in [[profitability]] during the current year .,The company aims to maintain this trend in [[gainfulness]] during the current year .,0.0015836954116821,0.9563599824905396,2,1,2,74,Successful,The company aims to maintain this trend in gainfulness during the current year .,1
191,The mill has long traditions and [[holds]] an established position in the markets .,The mill has long traditions and [[postponement]] an established position in the markets .,0.0027801990509033,0.9983461499214172,2,0,2,204,Successful,The mill has long traditions and postponement an established position in the markets .,0
192,"This is Done Logistics ' [[largest]] order in Norway , the diversified group said .","This is Done Logistics ' [[bombastic]] order in Norway , the diversified group said .",0.0007668733596801,0.9993231296539308,2,1,2,118,Successful,"This is Done Logistics ' bombastic order in Norway , the diversified group said .",1
193,This resulted in [[improved]] sales [[figures]] in Sweden .,This resulted in [[meliorate]] sales [[anatomy]] in Sweden .,0.0006342530250549,0.99741393327713,2,1,2,91,Successful,This resulted in meliorate sales anatomy in Sweden .,1
